director_name,director_name,proportion
J.J. Abrams,4,0.10649627263045794
J.S. Cardone,1,0.026624068157614485
Jack Sholder,1,0.026624068157614485
Jacob Aaron Estes,1,0.026624068157614485
Jacques Perrin,1,0.026624068157614485
Jafar Panahi,1,0.026624068157614485
Jake Kasdan,4,0.10649627263045794
Jake Paltrow,1,0.026624068157614485
Jake Schreier,2,0.05324813631522897
Jamal Hill,1,0.026624068157614485
James Algar,1,0.026624068157614485
James Bobin,3,0.07987220447284345
James Bridges,1,0.026624068157614485
James Cameron,7,0.1863684771033014
James Cox,1,0.026624068157614485
James DeMonaco,3,0.07987220447284345
James Dodson,1,0.026624068157614485
James Fargo,1,0.026624068157614485
James Foley,3,0.07987220447284345
James Gray,4,0.10649627263045794
James Gunn,3,0.07987220447284345
James Isaac,1,0.026624068157614485
James Ivory,5,0.13312034078807242
James L. Brooks,3,0.07987220447284345
James Mangold,8,0.21299254526091588
James Marsh,2,0.05324813631522897
James Mather,1,0.026624068157614485
James McTeigue,3,0.07987220447284345
James Mottern,1,0.026624068157614485
James Ponsoldt,1,0.026624068157614485
James Toback,2,0.05324813631522897
James Wan,7,0.1863684771033014
James Watkins,1,0.026624068157614485
James Wong,4,0.10649627263045794
Jamie Babbit,2,0.05324813631522897
Jamie Blanks,2,0.05324813631522897
Jamie Travis,1,0.026624068157614485
Jan de Bont,5,0.13312034078807242
Jane Campion,3,0.07987220447284345
Janusz Kaminski,1,0.026624068157614485
Jared Hess,2,0.05324813631522897
Jason Alexander,1,0.026624068157614485
Jason Bateman,1,0.026624068157614485
Jason Eisener,1,0.026624068157614485
Jason Friedberg,4,0.10649627263045794
Jason Moore,1,0.026624068157614485
Jason Reitman,6,0.1597444089456869
Jason Zada,1,0.026624068157614485
Jaume Balagueró,2,0.05324813631522897
Jaume Collet-Serra,7,0.1863684771033014
Jay Chandrasekhar,4,0.10649627263045794
Jay Duplass,2,0.05324813631522897
Jay Levey,1,0.026624068157614485
Jay Roach,7,0.1863684771033014
Jay Russell,3,0.07987220447284345
Je-kyu Kang,1,0.026624068157614485
Jean-François Richet,1,0.026624068157614485
Jean-Jacques Annaud,3,0.07987220447284345
Jean-Marc Vallée,3,0.07987220447284345
Jean-Marie Poiré,2,0.05324813631522897
Jean-Paul Rappeneau,1,0.026624068157614485
Jean-Pierre Jeunet,5,0.13312034078807242
Jeannot Szwarc,1,0.026624068157614485
Jeb Stuart,1,0.026624068157614485
Jee-woon Kim,2,0.05324813631522897
Jeff Burr,1,0.026624068157614485
Jeff Franklin,1,0.026624068157614485
Jeff Garlin,1,0.026624068157614485
Jeff Kanew,1,0.026624068157614485
Jeff Lowell,1,0.026624068157614485
Jeff Nichols,3,0.07987220447284345
Jeff Schaffer,1,0.026624068157614485
Jeff Tremaine,3,0.07987220447284345
Jeff Wadlow,3,0.07987220447284345
Jeffrey W. Byrd,1,0.026624068157614485
Jennifer Flackett,1,0.026624068157614485
Jennifer Yuh Nelson,1,0.026624068157614485
Jeremy Leven,1,0.026624068157614485
Jeremy Saulnier,2,0.05324813631522897
Jerome Robbins,1,0.026624068157614485
Jerry Jameson,2,0.05324813631522897
Jerry Zaks,1,0.026624068157614485
Jerry Zucker,3,0.07987220447284345
Jesse Dylan,3,0.07987220447284345
Jesse Peretz,1,0.026624068157614485
Jesse Vaughan,1,0.026624068157614485
Jessie Nelson,2,0.05324813631522897
Jessy Terrero,1,0.026624068157614485
Jez Butterworth,1,0.026624068157614485
Jill Sprecher,1,0.026624068157614485
Jim Abrahams,1,0.026624068157614485
Jim Fall,1,0.026624068157614485
Jim Field Smith,1,0.026624068157614485
Jim Gillespie,1,0.026624068157614485
Jim Goddard,1,0.026624068157614485
Jim Hanon,1,0.026624068157614485
Jim Mickle,1,0.026624068157614485
Jim Sheridan,4,0.10649627263045794
Jim Sonzero,1,0.026624068157614485
Jimmy Hayward,2,0.05324813631522897
Jirí Menzel,1,0.026624068157614485
Joan Chen,1,0.026624068157614485
Joby Harold,1,0.026624068157614485
Jodie Foster,3,0.07987220447284345
